Title,Accession Number,Title2,Museum Name,Gallery Name,Object Type,Main Material,Medium,Manufacturing Technique,Main Artist,Artist's Nationality,Artist's Life Date / Bio Data,Author,Country,Provenance,Origin Place,Find Place,Scribe,Style,School,Patron/Dynasty,Period / Year of Work,Inscription,Mint,Weight,Brief Description,Detailed Description,Coin Description Obverse,Coin Description Reverse,Denomination,Dimensions,Component Material II,Tribe,Costume,Culture,Component Material III
Jhanjh,AM-JWL-2332,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Jhanjh made of gilet.,,,,12.5 cm,,,,,
Chura,AM-JWL-2333,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Churva made of brass.,,,,5.5 cm,,,,,
Chura,AM-JWL-2334,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Chura made on brass.,,,,5.5 cm,,,,,
Decorated metal chain,AM-JWL-2335-A,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Decorated metal chain,,,,40 cm,,,,,
Jhumka,AM-JWL-2335-C,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,,,,,,India,,,,,,,,20th century CE,,,,,Jhumka,,,,3 cms,,,,,
Postal First Day Cover,AM-LIT-11.21,Postal First Day Cover,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Printing,Not Known,Indian,Not Known,,India,,,,,,,,C. 20th Century,,,,Postal first day cover on Suryakant Tripathi 'Nirala'.,"Postal first day cover on Suryakant Tripathi 'Nirala'. It has posted 
stamp with the profile of Nirala. First day cover contains the 
signature of Mahadevi Verma.",,,,17 x 10 cm,,,,,
Letter,AM-LIT-122,,"Allahabad Museum, Allahabad",Terracotta Gallery,Literary,Paper,,,,Indian,,,India,,,,,,Hindi Literature,,,,,,,A letter written by Sumitranandan Pant to Suresh Singhji.,,,,22.8 x 17.5 cm,,,,,
Letter,AM-LIT-123,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Terracotta,,,,Indian,,,India,,,,,,Hindi Literature,,8.01.1936,,,,,Letter written by Sumitranandan Pant to his brother.,,,,22.8 x 17.3 cm,,,,,
Letter,AM-LIT-124,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,,,Indian,,,India,,,,,,Hindi Literature,,14.01.1936,,,,Initial content,A letter written by Sumitranandan Pant for his brother.,,,,22.5 x 17.7 cm,,,,,
Letter,AM-LIT-125,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,,,Indian,,,India,,,,,,Hindi Litrature,,22.10.1938,,,,Initial content,Letter written by Pt. Sumitranandan pant to his brother.,,,,23.2 x 17.7,,,,,
Letter,AM-LIT-126,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,,,Indian,,,India,,,,,,Hindi Literature,,18.02.1936,,,,,A letter written by Pt. Sumitranandan Pant referring to Kanti Desai album on Mahatma Gandhi,,,,22.7 x 17.7 cm,,,,,
Letter,AM-LIT-127,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,,,Indian,,,India,,,,,,Hindi Literature,,04.09.1935,,,,,A letter written by Sumitranandan Pant to a friend.,,,,22.7 x 17.4 cm,,,,,
Letter,AM-LIT-128,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,,,Indian,,,India,,,,,,Hindi Literature,,26.07.1935,,,,,"A letter written by Sumitranandan Pant to his brother on the letter head of literary magazine ""Rupabh"" 3 leaves.",,,,22.2 x 14.3 cm,,,,,
Letter,AM-LIT-129,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,,,Indian,,,India,,,,,,Hindi Literature,,24.07.1935 (?),,,,,"A letter written by Sumitranandan Pant on the letter head of the literary journal ""Rupabh"" (two leaves).",,,,22.2 x 14.3 cm,,,,,
Letter,AM-LIT-131,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.10.02.1935  ce,,,,,Letter written by Pt. Sumitranandan Pant to his brother. Letter written from Almora. Dated 10.02.1935,,,,25.3 X 20.4 cms,,,,,
Letter,AM-LIT-132,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.05.09.1935 CE,,,,,Letter written by Pt. Sumitranandan Pant addressed as 'परम प्रिय भाई'. The letter is written from Almora. It is dated 05.09.1935,,,,25.5 X 20.8 cms,,,,,
Letter,AM-LIT-133,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,,,,,,,C.25.08.1934 & 3.9.1934 CE,,,,,Two Letter written By Pt. Sumitranandan Pant addressed to his brother. Letter dated 25.08.1934 and 03.09.1934 from Moral addressed to his brother.,,,,22.7  x 17.5 cms,,,,,
Letter,AM-LIT-134,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.25.09.1934 CE,,,,,Letter written by Pt. Sumitranandan Pant to his brother. Letter written from Almora dated 25.09.1934,,,,22.7 X17.3 cms,,,,,
Letter,AM-LIT-135,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.14.02.1934 CE,,,,,Letter written by Pt. Sumitranandan Pant to his brother. Letter dated 14.02.1934 written from Landsdowne.,,,,22.8 X 17.7 cms,,,,,
Letter,AM-LIT-136,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,C.19th Centuary CE,,,,,Letter written by Pt. Sumitranandanpant to Kunwar suresh Singh ji. Letter dated 10/6 written from Almora.,,,,22.5 X 17.5 cms,,,,,
Letter,AM-LIT-137,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,C.29.10.1939 CE,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh. Letter dated 29.10.1939.,,,,22.5 X 17.5 cms,,,,,
Letter,AM-LIT-138,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,C.05.05.1938 CE,,,,,Letter written by Pt. Sumitranandan Pant to Suresh Singh Ji. Letter dated 05.05.1938 written from Bijnor.,,,,22.9 X 17.9 cms,,,,,
Letter,AM-LIT-139,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,C.26.05.1938 CE,,,,,Letter written by Pt. Sumitranandan Pant to Suresh Singh ji. Letter dated 26.05.1938 written from Bijnor.,,,,22.8 X 17.7 cms,,,,,
Letter,AM-LIT-140,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.08.05.1931 CE,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh Ji. Letter dated 08.05.1931 written from Almora.,,,,22.8 X 17.6 cms,,,,,
Letter,AM-LIT-141,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.12.08.1960 CE,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh ji. Letter dated 12.08.1960 written from Allahabad received at Kalakankar on 17.08.1960.,,,,26.7 X 18.9 cms,,,,,
Letter,AM-LIT-142,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.14.06.1960 and 16.06.1960 CE,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh Ji of Kalakarkar. It is written from Allahabad dated 14.06.1960 and received at Kalakarkar on 16.06.1960.,,,,26.7 X 18.9 cms,,,,,
Letter,AM-LIT-143,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.04.04.1960 & 05.04.1960 CE,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh Ji of Kalakankar. Letter written from Allahabad dated 04.04.1960 and received at Kalakankar on 05.04.1960.,,,,26.7 X 18.9 cms,,,,,
Letter,AM-LIT-144,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.16.03.1960 & 18.03.1960 CE,,,,,Letter written by Pt. Sumitranandan Pant to Suresh Singh Ji of Kalakankar. Letter written from Allahabad on 16.03.1960,,,,26.7 X 18.9 cms,,,,,
Letter,AM-LIT-145,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.02.02.1960 & 03.02.1960 CE,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh Ji of Kalakankar. Letter dated 02.02.1960 written from Allahabad and received on 03.02.1960.,,,,26.7 X 18.9 cms,,,,,
Letter,AM-LIT-146,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.09.01.1958 & 10.01.1958  CE,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh Ji of Kalakankar. Letter dated on 09.01.1958 written from Allahabad and received on 10.01.1958.,,,,26.7 X 18.9 cms,,,,,
Letter,AM-LIT-147,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.19th Centuary CE,,,,,Letter written by Pt. Sumitranandan Pant to his brother.,,,,21.8 X 16.5 CMS,,,,,
Letter,AM-LIT-148,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,,,Indian,,,India,India,India,,,,,,C.05.03.1958 CE,,,,,"Letter written by Pt. Sumitranandan Pant to his brother. Letter written from Stanley Road, Allahabad.",,,,22.5 X 17.5 cms,,,,,
Letter,AM-LIT-149,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.3.12.1955  CE,,,,,"Letter written by Pt. Sumitranandan Pant addresed to his brother. Written from 18/37 Stanley Road, Allahabad on 03.12.1955.",,,,22.3 X 17.4 cms,,,,,
Letter,AM-LIT-150,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.03.06.1953 CE,,,,,Letter written by Pt. Sumitranandan Pant on the letterhead of Journal 'लोकायन' and addressed to 'प्रिय भाई'. Letter written from Tagore Town dated 03.06.1953.,,,,24.5 X 17.4 cms,,,,,
Letter,AM-LIT-151,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,C.23.12.1951 CE,,,,,Letter written by Pt. Sumitranandan Pant addresed to 'प्रिय भाई'. Letter dated 23.12.1951,,,,22.7 X 17.8 cms,,,,,
Letter,AM-LIT-152,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.03.03.1955 CE,,,,,Letter written by Pt. Sumitranandanpant addresed to 'परम प्रिय भाई' letter dated 03.03.1955,,,,22.7 X 17.7 cms,,,,,
Letter,AM-LIT-153,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.02.06.1955 CE,,,,,Letter written by Pt. Sumitranandan Pant addressed to 'परम प्रिय भाई' letter dated 02.06.1955.,,,,22.5 X 17.7 cms,,,,,
Letter,AM-LIT-154,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,,India,,,,,,C.29.07.1955 & 30.07.1955 CE,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh Kalakankar. Letter dated 29.07.1955 and postmarked on 30.07.1955.,,,,24.8 X 18.5 cms,,,,,
Letter,AM-LIT-155,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.05.09.1955 CE,,,,,Letter written by Pt. Sumitranandanpant addressed to 'परम प्रिय भाई'. Letter dated 05.09.1955.,,,,22.2 X 18.5 cms,,,,,
Letter,AM-LIT-156,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.10.07.1951 CE,,,,,Letter written by Pt. Sumitranandan Pant addressed to 'परम प्रिय भाई'. Letter dated 10.07.1951.,,,,22.2 X 18.6 cms,,,,,
Letter,AM-LIT-157,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.8.6.1951 CE,,,,,Letter written by Pt. Sumitranandan Pant addressed to 'परम प्रिय भाई'. Letter dated 08.06.1951.,,,,22.2 X 18.6 cms,,,,,
Letter,AM-LIT-158,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.16.03.1951 CE,,,,,Letter written by Pt. Sumitranandan Pant addressed to 'परम प्रिय भाई'. Letter dated 16.03.1951,,,,22.8 X 17.7 cms,,,,,
Letter,AM-LIT-159,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.14.12.1956 & 15.12.1956  CE,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh ji at Kalakankar. Letter dated 14.12.56 and postmarked on 15.12.1956,,,,24.7 X 18.6 cms,,,,,
Letter,AM-LIT-160,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand Written,,Indian,,,India,India,India,,,,,,C.03.04.1957 CE,,,,,Letter written by Pt. Sumitranandan Pant addressed to 'परम प्रिय भाई' letter dated 03.04.1957.,,,,22.6 X 17.8 cms,,,,,
Letter,AM-LIT-161,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,C.20.07.1957  CE,,,,,Letter written by Pt. Sumitranandan Pant addressed is 'Param Priya Bhai'.,,,,26.5 x 18.7 cm,,,,,
Letter,AM-LIT-162,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,C.16.10.1957  CE,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh of Kalakankar Raj.,,,,26.7 x 18.8 cms,,,,,
Letter,AM-LIT-163,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,C.13.11.1957  CE,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh of Kalakankar.,,,,26.7 x 18.8 cms,,,,,
Letter,AM-LIT-164,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,c.29.11 CE,,,,,Letter written by Pt. Sumitranandan Pant addressed as 'Param Priya Bhai' in devanagari.,,,,22.4 x 17.5 cms,,,,,
Letter,AM-LIT-165,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,2nd February 1958,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh.,,,,26.5 x 18.6 cms,,,,,
Letter,AM-LIT-166,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,7th June 1967,,,,,Letter written by Mahadevi Verma to Pt. Sumitranandan Pant.,,,,26.5 x 19 cms,,,,,
Letter,AM-LIT-167,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,15th February 1963,,,,,Letter written by Harivansh Rai Bacchan to Pt. Sumitranandan Pant.,,,,26.5 x 18.9 cms,,,,,
Letter,AM-LIT-168,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,20th February 1963,,,,,Letter written by Harivansh Rai Bacchan to Pt. Sumitranandan Pant.,,,,26.6 x 18.9 cms,,,,,
Letter,AM-LIT-169,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,9th October 1962,,,,,Letter written by Hsrivansh Rai Bacchan to Pt. Sumitranandan Pant.,,,,26.5 x 19 cms,,,,,
Letter,AM-LIT-170,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,24th July 1962,,,,,Letter written by Harivansha Rai Bacchan to Pt. Sumitranandan Pant.,,,,26.5 x 19 cms,,,,,
Letter,AM-LIT-171,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,5th September 1966,,,,,Letter written by Amrit Lal Nagar to Shanti Joshi from Lucknow to Allahabad.,,,,26.3 x 18.7 cms,,,,,
Letter,AM-LIT-173,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,12th March 1963,,,,,Letter written by Harivansh Rai Bacchan to Pt. Sumitranandan Pant.,,,,26.5 x 19.3 cm,,,,,
Letter,AM-LIT-174,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,17th October 1962,,,,,Letter Written by Harivansh Rai Bacchan to Pt. Sumitranandan Pant.,,,,26.4 x 18.9 cms,,,,,
Letter,AM-LIT-175,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,,India,,,,,,10th October 1962,,,,,Letter written by Harivansh Rai Bacchan to Pt. Sumitranandan Pant.,,,,26.5 x 19 cms,,,,,
Letter,AM-LIT-176,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,13th December 1961,,,,,Letter written by Harivansh Rai Bacchan to Pt Sumitranandan Pant.,,,,26.4 x 18.9 cms,,,,,
Letter,AM-LIT-177,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,4th May 1962,,,,,Letter written by Harivansh Rai Bachhan to Pt. Sumitranandan Pant.,,,,26.5 x 18.9 cms,,,,,
Letter,AM-LIT-178,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,10th January 1963,,,,,Letter written by Hsrivansh Rai Bacchan to Pt. Sumitranandan Pant.,,,,26.6 x 19 cms,,,,,
Letter,AM-LIT-179,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,18th May 1964,,,,,Letter written by Harivansh Rai Bachhan to Pt. Sumitranandan Pant.,,,,26.5 x 19 cms,,,,,
Letter,AM-LIT-180,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,30th May 1967,,,,,Letter written by Pt. Sumitranandan Pant to Km. Shanti Joshi.,,,,27.7 x 19.3 cms,,,,,
Letter,AM-LIT-181,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,5th June 1967,,,,,Letter written by Pt. Sumitranandan Pant to Km. Shanti Joshi.,,,,26.5 x 18.7 cms,,,,,
Letter,AM-LIT-182,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,15th June 1967,,,,,Letter written by Pt. Sumitranandan Pant to Km. Shanti Joshi.,,,,27.6 x 19.2 cms,,,,,
Letter,AM-LIT-183,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,21st February 1962,,,,,Letter written by Harivansh Rai Bacchan.,,,,22.4 x 17.7 cms,,,,,
Letter,AM-LIT-184,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,C.13.06  CE,,,,,Letter written by Pt. Sumitranandan Pant.,,,,22 x 19 cms,,,,,
Letter,AM-LIT-185,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh ji of Kalakankar.,,,,24.5 x 18.8 cms,,,,,
Letter,AM-LIT-186,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,30th May 1971,,,,,"Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh ji of Kalakankar from 18/87 K.G Marg, Allahabad to Kalakankar, Pratapgarh.",,,,24.6 x 18.7 cms,,,,,
Letter,AM-LIT-187,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,25th July 1971,,,,,Letter written by Pt. Sumitranandan Pant addressed as  'Param Priya Bhai',,,,22.5 x 17.4 cms,,,,,
Letter,AM-LIT-188,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,7th August 1971,,,,,Letter written by Pt. Sumitranandan Pant addressed as 'Param Priya Bhai'.,,,,22.4 x 17.3 cms,,,,,
Letter,AM-LIT-189,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh of Kalakankar.,,,,26.7 x 18.8 cms,,,,,
Letter,AM-LIT-190,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,,India,,,,,,26th November 1071,,,,,"Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh of Kalakankar from 18/73 K. G. Marg, Allahabad to P.O Kalakankar.",,,,26.6 x 18.8 cms,,,,,
Letter,AM-LIT-191,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,13th April 1972,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh of Kalakankar.,,,,26.6 x 19 cms,,,,,
Letter,AM-LIT-192,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,13th April 1972,,,,,Letter written by Pt. Sumitranandan pant to Kunwar Suresh Singh of Kalakankar.,,,,26.6 x 19 cms,,,,,
Letter,AM-LIT-193,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,,,,,,Letter written by Pt. Sumitrananadan Pant to Kunwar Suresh Singh JI of Kalakankar.,,,,26.5 x 18.8 cms,,,,,
Letter,AM-LIT-194,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,7th October 1973,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh of Kalakankar.,,,,26.4 x 18.7 cms,,,,,
Letter,AM-LIT-195,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,10th January 1974,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh Ji.,,,,24.2 x 18.7 cms,,,,,
Letter,AM-LIT-196,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,14th May 1974,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh ji of Pratapgarh.,,,,26.6 x 18.8 cms,,,,,
Letter,AM-LIT-197,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,27th January 1977,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh ji of Pratapgarh.,,,,26.5 x 18.8 cms,,,,,
Letter,AM-LIT-198,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,12th April 1977,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh of Kalakankar.,,,,26.5 x 18.8 cms,,,,,
Letter,AM-LIT-199,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,,Indian,,,India,India,India,,,,,,21st August 1977,,,,,Letter written by Pt. Sumitranandan Pant to Kunwar Suresh Singh ji of Kalakankar.,,,,26.5 x 19 cms,,,,,
Post Card,AM-LIT-259,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Hand-Written,Mahavir Prasad Dwivedi,Indian,,,India,,India,,,,,,,,,,,One post card written by Mahavir Prasad Dwivedi to Shri Kamta Prasad.,,,,13.9 x 8.7 cms,,,,,
Dirary of Premchandra,AM-LIT-26,Dirary of Premchandra,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Binding,Not Known,Indian,Not Known,Munshi Premchandra,India,,,,,,,,C. 20th Century CE,,,,This is a pocket diary belongs to Munshi Preshchandra.,"Gita Diary and Samvat 1984 is written on the cover of the diary and 
it contains miscellaneous jotting. These includes accounts of daily 
expenditure like payments to milkman, gota-wala, goldsmith, thela-
wala, rent etc.",,,,9.3 x 13.8 cm,,,,,
Group Photograph,AM-LIT-267,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,Printing,,Indian,,,India,,India,,,,,,C.20th Century CE,,,,Initial content,A black and white photograph showing Nirala ji with Russian authors.,,,,11 x 10.5 cms,,,,,
Letter,AM-LIT-286,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,,,Indian,,,India,,,,,,Hindi Literature,,02.04.1962,,,,,A letter from Harivansh Rai Bacchan to Sumitranandan Pant.,,,,13.9 x 9 cm,,,,,
Letter,AM-LIT-287,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,,,Indian,,,India,,,,,,Hindi Literature,,05.03.1962,,,,,A letter from Harivansh Rai Bacchan to Sumitranandan Pant.,,,,14 x 8.8 cm,,,,,
Letter,AM-LIT-288,,"Allahabad Museum, Allahabad",Literary Gallery,Literary,Paper,,,,Indian,,,India,,,,,,Hindi Literature,,06.10.1962,,,,,A letter from Harivansh Rai Bacchan to Sumitranandan Pant.,,,,14 x 8.8 cm,,,,,
Rajput King,AM-MIN-1,Rajput King,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,Paper,Water Colour,Not Known,Indian,C.1825 CE,NA,India,"Jaipur, Rajasthan","Jaipur, Rajasthan","Jaipur, Rajasthan",NA,Rajasthani,Rajasthani,NA,C.1825 CE,Chavi shola ji,,,"Picture shows a Rajput king holding a rosary in one of his hands. His another hand is stretched forward.  On the painting it is written ""Kalam Mangal Chetera ki"".  On the backside it says, ""Chavi Solal ji Rajasthani.""","Picture shows a Rajput king holding a rosary in one of his hands. His another hand is stretched forward.  On the painting it is written ""Kalam Mangal Chetera ki"".  On the backside it says, ""Chavi Solal ji Rajasthani.""",,,,22.86 x 13.97 cm,,NA,"Gherdar jama-pajama,pagree, & kamarbandh.",NA,
